Coin,Price,Change_1h,Change_24h,Chnage_7days,Volume_24h,Market_cap
Monero,$165.52,-0.7%,2.9%,-1.3%,n/a,"$3,008,845,070"
Flow,$2.77,-0.2%,7.6%,-10.9%,n/a,"$2,882,874,043"
Bitcoin Cash,$134.36,-0.1%,0.5%,-5.5%,n/a,"$2,570,583,318"
Algorand,$0.346026,-0.0%,0.6%,-5.4%,n/a,"$2,380,694,855"
Filecoin,$8.21,0.4%,0.3%,-1.0%,n/a,"$2,157,052,108"
VeChain,$0.029624701977,-0.1%,0.3%,-9.7%,n/a,"$2,146,482,962"
ApeCoin,$6.31,-0.1%,4.9%,-11.1%,n/a,"$1,982,196,318"
Internet Computer,$7.40,-0.0%,-0.1%,-10.7%,n/a,"$1,887,319,490"
Chain,$0.082907917970,-0.2%,-1.9%,-7.5%,n/a,"$1,784,220,478"
Decentraland,$0.981989,-0.1%,-0.1%,-8.6%,n/a,"$1,776,636,968"
The Sandbox,$1.23,-0.4%,0.2%,-9.0%,n/a,"$1,711,295,762"
Hedera,$0.074390502716,-0.1%,-0.7%,-5.7%,n/a,"$1,684,283,935"
Tezos,$1.86,-0.2%,-1.1%,-0.5%,n/a,"$1,668,608,172"
Quant,$114.06,-1.6%,3.5%,-10.0%,n/a,"$1,533,088,590"
Axie Infinity,$17.06,-0.4%,-0.6%,-8.1%,n/a,"$1,530,472,979"
Frax,$0.998706,0.0%,-0.1%,-0.0%,n/a,"$1,445,046,473"
EOS,$1.44,-0.4%,-7.0%,12.0%,n/a,"$1,439,054,884"
Theta Network,$1.41,-0.3%,0.6%,-12.3%,n/a,"$1,410,120,608"
Aave,$99.55,-0.7%,-4.4%,-10.2%,n/a,"$1,390,293,410"
Lido DAO,$2.42,-1.8%,-3.6%,-10.5%,n/a,"$1,364,242,880"
Elrond,$58.11,-0.2%,-0.2%,-13.6%,n/a,"$1,326,440,766"
Celsius Network,$3.09,4.6%,17.4%,32.7%,n/a,"$1,306,889,850"
TrueUSD,$0.999318,-0.1%,-0.2%,-0.2%,n/a,"$1,212,213,689"
Chiliz,$0.217745,-0.2%,-1.0%,42.4%,n/a,"$1,162,057,040"
Bitcoin SV,$60.24,0.0%,-0.1%,-3.6%,n/a,"$1,152,963,860"
cUSDC,$0.022649512886,0.0%,-0.0%,-0.2%,n/a,"$1,020,480,463"
KuCoin,$10.30,-0.3%,1.5%,-4.4%,n/a,"$1,006,321,879"
Zcash,$75.57,-0.4%,3.9%,-3.8%,n/a,"$966,474,818"
Helium,$7.59,-0.1%,-1.2%,-13.3%,n/a,"$953,804,154"
The Graph,$0.123207,-0.0%,-0.9%,-16.0%,n/a,"$910,949,403"
BitTorrent,$0.000000976736,0.9%,1.7%,-3.8%,n/a,"$908,493,274"
Fantom,$0.357549,-0.2%,0.8%,-12.2%,n/a,"$907,863,527"
Huobi BTC,"$23,542.32",0.6%,0.6%,-1.8%,n/a,"$907,360,081"
cETH,$37.31,-0.7%,1.3%,0.3%,n/a,"$901,126,690"
IOTA,$0.321853,0.1%,-2.0%,-7.7%,n/a,"$892,758,513"
eCash,$0.000044345188,-0.1%,-0.6%,-5.2%,n/a,"$848,282,362"
Pax Dollar,$0.997894,-0.2%,-0.1%,-0.2%,n/a,"$842,467,577"
Klaytn,$0.279853,-0.1%,0.1%,-5.0%,n/a,"$836,857,783"
Maker,$927.03,-0.1%,-2.2%,-16.9%,n/a,"$835,038,668"
Synthetix Network,$3.53,-0.2%,0.1%,-16.0%,n/a,"$823,567,115"
cDAI,$0.022052229351,-0.0%,-0.2%,-0.2%,n/a,"$823,530,374"
NEO,$10.95,-0.1%,-0.6%,-6.2%,n/a,"$771,688,817"
THORChain,$2.55,-0.2%,0.1%,-12.9%,n/a,"$765,754,836"
USDD,$0.997925,-0.2%,-0.3%,-0.0%,n/a,"$743,114,143"
Gate,$4.86,-0.1%,0.7%,-1.4%,n/a,"$706,727,613"
Huobi,$4.59,-0.1%,-8.0%,4.1%,n/a,"$703,080,481"
Neutrino USD,$0.989270,0.2%,1.4%,-0.0%,n/a,"$685,160,127"
Arweave,$13.39,0.3%,-0.2%,-13.9%,n/a,"$670,815,317"
PancakeSwap,$3.99,-0.7%,-0.5%,-10.1%,n/a,"$657,192,075"
Zilliqa,$0.043526265372,-0.1%,0.4%,-4.3%,n/a,"$640,059,415"
Stacks,$0.465293,-0.0%,0.1%,-7.3%,n/a,"$617,948,288"
Basic Attention,$0.412554,-0.1%,-0.4%,-11.3%,n/a,"$616,759,432"
Enjin Coin,$0.653948,-0.0%,0.1%,-6.8%,n/a,"$611,070,764"
Amp,$0.007970186784,0.1%,-1.6%,-4.9%,n/a,"$605,225,071"
Radix,$0.060557475981,0.0%,-0.9%,-3.8%,n/a,"$603,062,788"
PAX Gold,"$1,759.63",-0.1%,-0.1%,-1.6%,n/a,"$597,856,899"
STEPN,$0.982062,-0.9%,-2.7%,0.0%,n/a,"$587,741,245"
BitDAO,$0.514086,0.1%,3.5%,-30.7%,n/a,"$584,642,992"
Dash,$53.69,-0.0%,3.0%,-1.5%,n/a,"$583,850,463"
Waves,$5.68,-0.3%,0.6%,-7.4%,n/a,"$568,030,296"
Tenset,$2.87,-2.2%,-2.7%,3.4%,n/a,"$559,330,244"
Evmos,$1.97,0.4%,6.8%,9.9%,n/a,"$541,253,967"
NEXO,$0.947314,-0.5%,0.1%,7.4%,n/a,"$530,385,644"
Kava,$2.11,1.0%,1.5%,-9.0%,n/a,"$529,472,111"
Loopring,$0.423843,-0.0%,-2.8%,-8.8%,n/a,"$528,136,486"
Osmosis,$1.22,0.1%,3.7%,3.6%,n/a,"$526,683,373"
Bitcoin Gold,$29.13,-0.5%,1.2%,-2.9%,n/a,"$510,069,467"
DeFiChain,$0.883237,-0.0%,-0.3%,-7.1%,n/a,"$504,330,439"
Kusama,$55.27,-0.1%,0.9%,-12.1%,n/a,"$495,113,137"
Gala,$0.062799884678,0.1%,-2.7%,-1.1%,n/a,"$472,799,486"
Curve DAO,$1.20,-0.1%,-1.1%,-13.5%,n/a,"$469,186,971"
Mina Protocol,$0.785413,-0.2%,-2.1%,-19.3%,n/a,"$461,985,130"
XDC Network,$0.033354051735,0.3%,-1.6%,-2.0%,n/a,"$459,598,631"
Celo,$1.01,-0.3%,-0.2%,-11.6%,n/a,"$458,955,886"
ECOMI,$0.001648065076,-0.7%,-0.9%,-1.0%,n/a,"$458,604,910"
Gnosis,$177.08,-0.0%,0.8%,-1.3%,n/a,"$455,387,495"
NEM,$0.050598927041,-0.1%,-0.2%,-3.4%,n/a,"$454,222,890"
Tokenize Xchange,$5.70,0.1%,-0.5%,-4.8%,n/a,"$453,756,109"
Decred,$31.65,-0.8%,-2.4%,-12.2%,n/a,"$451,312,212"
1inch,$0.774203,-0.1%,-1.0%,-12.3%,n/a,"$449,705,890"
Rocket Pool,$27.71,0.3%,2.3%,-6.1%,n/a,"$447,738,944"
Holo,$0.002523512728,0.6%,-0.8%,-3.0%,n/a,"$447,233,795"
Trust Wallet,$1.05,-1.0%,-3.0%,-9.1%,n/a,"$438,789,259"
Frax Share,$5.94,-0.3%,-0.4%,-15.3%,n/a,"$425,420,769"
Tether Gold,"$1,712.87",-0.1%,0.0%,-0.1%,n/a,"$422,592,642"
Oasis Network,$0.083825310928,-1.1%,-3.0%,-19.5%,n/a,"$420,601,666"
Qtum,$4.03,-0.1%,1.1%,-3.8%,n/a,"$419,196,015"
Nexus Mutual,$59.87,-0.0%,2.0%,9.3%,n/a,"$406,190,810"
Compound,$59.13,-0.3%,-0.0%,-10.3%,n/a,"$405,391,753"
Theta Fuel,$0.068953697023,-0.1%,0.4%,3.8%,n/a,"$400,445,549"
Ravencoin,$0.034618420379,-0.1%,-0.5%,-6.6%,n/a,"$399,601,500"
Convex Finance,$5.88,-0.2%,-0.9%,-23.1%,n/a,"$391,923,355"
Ethereum Name Service,$14.83,0.7%,-1.0%,-7.9%,n/a,"$382,354,991"
Serum,$1.00,-0.3%,0.2%,-2.0%,n/a,"$373,447,329"
Ankr,$0.045853358461,-0.2%,-4.8%,29.2%,n/a,"$373,242,512"
JUNO,$6.17,0.2%,4.6%,3.2%,n/a,"$353,325,955"
yearn.finance,"$11,043.05",-0.2%,-0.1%,-3.5%,n/a,"$347,975,784"
IOST,$0.014912198071,0.2%,-0.5%,-6.0%,n/a,"$347,593,757"
Maiar DEX,$0.000060803958,0.1%,-0.1%,-14.0%,n/a,"$347,120,321"
Harmony,$0.027563232280,0.0%,-1.0%,-0.4%,n/a,"$338,625,183"
OKC,$19.76,-0.3%,0.7%,2.8%,n/a,"$337,668,257"
IoTeX,$0.035333164298,0.0%,-5.7%,-1.6%,n/a,"$333,815,416"
Convex CRV,$1.19,0.6%,2.0%,-10.8%,n/a,"$333,429,167"
Kadena,$1.79,0.2%,-0.5%,-21.0%,n/a,"$330,874,169"
Olympus,$13.03,2.1%,4.5%,-3.9%,n/a,"$321,577,331"
Gemini Dollar,$0.981149,-0.2%,0.0%,-1.9%,n/a,"$319,099,946"
OMG Network,$2.24,-0.0%,0.1%,-6.9%,n/a,"$313,549,825"
Marinade staked SOL,$43.40,-0.3%,-0.7%,-3.2%,n/a,"$308,212,169"
Livepeer,$11.73,-0.7%,1.3%,-3.3%,n/a,"$306,336,316"
0x,$0.352177,0.2%,0.2%,-4.7%,n/a,"$297,915,693"
Golem,$0.296516,-0.3%,2.2%,8.3%,n/a,"$296,625,290"
JUST,$0.033098471223,-0.1%,-0.6%,-1.0%,n/a,"$294,676,966"
Reserve Rights,$0.006848420968,-0.4%,-1.5%,-19.7%,n/a,"$289,495,204"
Optimism,$1.33,-0.9%,-1.7%,-14.5%,n/a,"$286,550,835"
Synapse,$1.53,-0.5%,8.5%,3.0%,n/a,"$285,274,574"
Audius,$0.349236,-0.1%,-0.2%,-7.6%,n/a,"$285,180,338"
LINK,$44.68,-0.6%,-1.5%,-13.5%,n/a,"$279,163,130"
SafeMoon [OLD],$0.000000005815,-1.0%,-0.4%,-5.9%,n/a,"$277,800,683"
GMX,$34.89,0.0%,8.6%,-24.3%,n/a,"$276,175,542"
Terra,$1.92,0.2%,-1.1%,-4.9%,n/a,"$270,811,176"
Sushi,$1.39,0.0%,0.1%,-12.1%,n/a,"$266,573,325"
ICON,$0.329109,-0.7%,-1.5%,-5.7%,n/a,"$260,800,227"
Flux,$1.00,-0.2%,5.1%,33.5%,n/a,"$256,960,179"
WAX,$0.119867,0.1%,0.7%,0.6%,n/a,"$254,388,997"
Merit Circle,$0.911494,-0.1%,0.7%,-3.1%,n/a,"$250,833,751"
Songbird,$0.029578588678,-0.3%,-0.6%,14.6%,n/a,"$248,523,284"
Ontology,$0.282085,0.1%,-5.9%,-1.9%,n/a,"$246,954,487"
Siacoin,$0.004769402309,-0.2%,0.5%,-3.3%,n/a,"$245,284,084"
Baby Doge Coin,$0.000000001531,-0.5%,-1.8%,-5.2%,n/a,"$243,966,661"
NuCypher,$0.196050,0.2%,-0.1%,-3.4%,n/a,"$242,853,795"
Horizen,$19.02,-0.6%,-8.8%,-13.1%,n/a,"$241,828,551"
Moonbeam,$0.672914,0.3%,1.4%,-11.8%,n/a,"$240,419,669"
TerraClassicUSD,$0.024323997350,0.6%,-2.0%,-17.7%,n/a,"$238,723,056"
Constellation,$0.090844511535,-4.0%,-7.0%,-18.1%,n/a,"$236,733,522"
Balancer,$6.56,-0.6%,0.8%,3.0%,n/a,"$233,769,103"
DAO Maker,$2.10,-0.1%,-1.6%,3.3%,n/a,"$232,358,097"
Escoin,$3.11,0.0%,1.1%,1.0%,n/a,"$228,752,259"
dYdX,$1.91,-0.2%,-0.9%,-21.9%,n/a,"$227,786,142"
Immutable X,$0.967084,-0.4%,-0.2%,-14.3%,n/a,"$227,129,665"
WOO Network,$0.198305,-0.4%,-1.5%,-19.9%,n/a,"$226,502,473"
SXP,$0.457135,-0.3%,-1.7%,-2.8%,n/a,"$225,722,628"
Hive,$0.602396,-0.3%,0.8%,-5.2%,n/a,"$223,727,214"
UMA,$3.25,-0.5%,-4.7%,5.5%,n/a,"$223,332,584"
Secret,$1.25,-0.5%,2.1%,-1.5%,n/a,"$223,270,712"
Magic Internet Money,$0.998687,-0.2%,0.0%,-0.6%,n/a,"$223,058,301"
SafeMoon,$0.000401381059,1.2%,-2.8%,-4.8%,n/a,"$222,177,228"
Bitkub Coin,$2.46,-1.1%,-3.3%,-6.0%,n/a,"$219,402,958"
SKALE,$0.059479380085,-0.6%,-1.5%,-13.2%,n/a,"$218,595,314"
Euro Tether,$1.01,-0.1%,-0.3%,-1.4%,n/a,"$208,702,815"
Polymath,$0.228253,-0.4%,-0.6%,-1.8%,n/a,"$204,754,446"
Chia,$42.06,-0.2%,0.0%,-2.8%,n/a,"$203,656,820"
BTC Standard Hashrate Token,$27.70,-0.6%,8.5%,39.2%,n/a,"$201,786,249"
Smooth Love Potion,$0.004951516020,-0.0%,0.5%,2.1%,n/a,"$197,765,659"
Ergo,$3.36,-0.4%,1.9%,51.9%,n/a,"$197,762,049"
Dogelon Mars,$0.000000352928,-0.2%,0.3%,5.0%,n/a,"$193,647,965"
Fei USD,$0.999113,-0.1%,0.1%,0.2%,n/a,"$190,617,146"
DigiByte,$0.012218128050,0.4%,0.0%,-6.1%,n/a,"$189,436,258"
Liquity USD,$1.01,-1.1%,-0.2%,-1.8%,n/a,"$188,722,947"
PlayDapp,$0.443033,-0.2%,-0.3%,-3.9%,n/a,"$187,087,025"
Casper Network,$0.032674091266,-0.1%,-4.2%,-10.7%,n/a,"$186,867,246"
VVS Finance,$0.000007661648,-0.3%,-1.4%,3.5%,n/a,"$184,366,573"
Render,$0.641418,-0.3%,1.6%,-11.4%,n/a,"$183,896,764"
Coinmetro,$0.607741,-0.1%,-0.5%,-1.7%,n/a,"$183,651,497"
Alchemix USD,$0.975471,-0.2%,-0.1%,-2.9%,n/a,"$180,331,300"
SwissBorg,$0.186986,-0.1%,0.6%,-3.5%,n/a,"$178,087,392"
Kyber Network Crystal,$1.73,1.4%,10.9%,6.9%,n/a,"$177,424,040"
LooksRare,$0.324288,-2.6%,-2.2%,-20.4%,n/a,"$176,759,195"
Lisk,$1.22,-0.2%,0.4%,-1.8%,n/a,"$175,901,775"
MXC,$0.071903068607,0.5%,4.0%,3.9%,n/a,"$175,303,455"
CEEK Smart VR,$0.213856,-0.3%,-2.5%,-8.6%,n/a,"$173,417,882"
APENFT,$0.000000617340,0.0%,-0.6%,-4.1%,n/a,"$171,108,242"
Metis,$38.40,-0.3%,1.9%,-18.9%,n/a,"$166,869,318"
Astar,$0.043796284177,-0.5%,2.9%,-11.7%,n/a,"$164,781,292"
Energy Web,$3.75,-0.1%,3.3%,38.3%,n/a,"$161,394,713"
Lido Staked SOL,$43.03,0.7%,-0.8%,-3.4%,n/a,"$160,098,028"
Nervos Network,$0.004761115432,-0.5%,3.0%,-8.7%,n/a,"$159,078,301"
Function X,$0.298826,-1.0%,2.6%,-2.9%,n/a,"$156,056,425"
REN,$0.155747,-0.3%,-0.7%,-12.3%,n/a,"$155,661,404"
Pundi X,$0.595728,-0.6%,-0.6%,-7.5%,n/a,"$154,191,412"
Spell,$0.001497747814,-0.7%,-4.7%,0.2%,n/a,"$146,724,875"
Pocket Network,$0.115350,-0.3%,13.1%,-14.8%,n/a,"$141,626,425"
Radio Caca,$0.000429226565,-0.1%,-2.0%,1.4%,n/a,"$140,368,554"
Civic,$0.174942,-1.0%,-0.9%,5.4%,n/a,"$140,279,758"
Poollotto.finance,$10.71,-10.6%,-11.2%,7.1%,n/a,"$139,325,347"
API3,$2.32,0.3%,0.5%,11.7%,n/a,"$138,936,442"
WINkLink,$0.000143288188,-0.4%,-0.3%,0.2%,n/a,"$137,692,009"
My Neighbor Alice,$2.57,-0.0%,-0.5%,-9.9%,n/a,"$135,131,059"
Floki Inu,$0.000014706029,-0.3%,-3.5%,-0.8%,n/a,"$133,592,006"
Orbs,$0.046013870034,-0.3%,0.2%,-3.6%,n/a,"$133,485,601"
Nest Protocol,$0.033925020491,0.9%,12.3%,1.2%,n/a,"$133,319,417"
Kujira,$1.64,-4.5%,2.0%,80.7%,n/a,"$131,664,749"
Status,$0.033435535714,-0.2%,0.0%,-1.7%,n/a,"$131,645,076"
Nano,$0.986559,-0.3%,-0.0%,-8.2%,n/a,"$131,515,825"
ConstitutionDAO,$0.025917722799,-0.2%,-1.1%,-21.3%,n/a,"$131,288,754"
Medibloc,$0.024265992692,-0.4%,0.4%,-1.7%,n/a,"$130,634,813"
Celer Network,$0.023058569661,-0.3%,-0.3%,-6.4%,n/a,"$130,265,940"
CoinEx,$0.038339269441,1.6%,0.4%,14.5%,n/a,"$129,844,099"
Rally,$0.040591236928,0.0%,-0.2%,-7.2%,n/a,"$128,005,105"
Yield Guild Games,$0.688950,-0.9%,3.0%,-12.8%,n/a,"$127,450,644"
STASIS EURO,$1.01,-0.2%,-0.8%,-2.0%,n/a,"$125,205,894"
Acala,$0.255167,-0.4%,1.1%,-20.6%,n/a,"$124,997,668"
Conflux,$0.059165191018,-0.3%,6.0%,-3.3%,n/a,"$124,237,376"
Numeraire,$20.17,0.3%,2.0%,-4.7%,n/a,"$123,721,700"
Injective,$1.91,-0.9%,-1.6%,4.7%,n/a,"$123,633,111"
Everscale,$0.099475711727,-1.0%,-3.3%,-11.6%,n/a,"$123,397,646"
MX,$1.23,0.4%,-2.6%,-1.9%,n/a,"$123,205,482"
MVL,$0.005680663357,0.3%,1.4%,-3.7%,n/a,"$123,023,323"
Maple,$19.67,-0.6%,3.2%,11.6%,n/a,"$122,964,760"
UFO Gaming,$0.000004744068,-1.7%,1.7%,42.4%,n/a,"$122,035,212"
COTI,$0.110045,-0.5%,-1.3%,-9.4%,n/a,"$121,814,360"
Prom,$6.67,0.2%,-1.1%,-8.6%,n/a,"$121,675,359"
Iron Bank EURO,$1.01,0.2%,1.3%,1.9%,n/a,"$121,415,751"
Ardor,$0.119849,-0.4%,-0.3%,2.3%,n/a,"$120,058,008"
Kirobo,$0.032081708945,-2.3%,6.6%,-1.1%,n/a,"$119,964,465"
BENQI Liquid Staked AVAX,$26.69,-0.5%,-1.0%,-11.0%,n/a,"$119,610,135"
sETH2,"$1,845.00",0.2%,2.0%,0.7%,n/a,"$116,891,955"
inSure DeFi,$0.004374565526,2.3%,2.0%,6.6%,n/a,"$115,484,425"
TitanSwap,$1.15,0.1%,-2.8%,-11.2%,n/a,"$114,998,122"
sUSD,$1.01,0.2%,0.4%,-0.1%,n/a,"$113,674,775"
Bancor Network,$0.548250,-0.1%,-0.5%,-10.7%,n/a,"$113,434,638"
Syscoin,$0.172518,-0.3%,-1.9%,-9.2%,n/a,"$113,375,114"
PlatonCoin,$0.991555,-0.1%,-0.1%,-0.9%,n/a,"$113,197,989"
Telcoin,$0.001749210959,-0.6%,1.8%,7.5%,n/a,"$111,990,076"
PLEX,$0.399138,-0.3%,-4.5%,86.3%,n/a,"$111,556,430"
Wrapped Centrifuge,$0.368608,1.2%,5.1%,14.2%,n/a,"$111,490,622"
dKargo,$0.052005085284,-0.6%,-0.3%,-5.1%,n/a,"$110,720,300"
Dent,$0.001152980234,-0.2%,-3.6%,-3.6%,n/a,"$110,212,711"
Project Galaxy,$3.08,-0.4%,0.5%,-16.6%,n/a,"$109,863,674"
Power Ledger,$0.254826,-0.1%,-0.0%,-4.3%,n/a,"$109,605,614"
Chromia,$0.194205,0.2%,-3.0%,-18.4%,n/a,"$109,103,352"
Biswap,$0.351856,-0.8%,-1.7%,-4.0%,n/a,"$108,762,895"
Ribbon Finance,$0.343822,0.0%,-2.5%,-10.6%,n/a,"$108,679,662"
Origin Protocol,$0.215997,0.3%,-3.3%,-6.0%,n/a,"$108,402,055"
Aurora,$1.69,-0.0%,-1.0%,-23.1%,n/a,"$108,211,056"
Keep Network,$0.196806,3.7%,3.9%,1.7%,n/a,"$108,104,656"
Steem,$0.273063,0.1%,1.4%,1.8%,n/a,"$107,871,838"
USDX,$0.957908,-1.1%,-0.2%,1.7%,n/a,"$107,234,392"
WazirX,$0.233411,0.8%,1.9%,-2.7%,n/a,"$105,137,399"
Mobox,$0.691176,-0.2%,-0.4%,-10.2%,n/a,"$104,824,324"
Radicle,$2.52,1.5%,7.6%,-3.3%,n/a,"$103,778,688"
Stratis,$0.739393,0.1%,0.9%,-2.4%,n/a,"$103,519,477"
XYO Network,$0.008184642872,0.1%,-1.1%,-8.6%,n/a,"$103,258,099"
Cartesi,$0.169132,0.1%,-2.5%,-8.5%,n/a,"$102,273,662"
iExec RLC,$1.41,0.3%,-1.6%,-4.6%,n/a,"$102,062,647"
Raydium,$0.792066,-0.1%,-1.2%,-7.8%,n/a,"$102,049,505"
Adshares,$3.41,-0.3%,-2.2%,-5.7%,n/a,"$101,357,663"
VeThor,$0.001934701075,-0.4%,-0.2%,-9.5%,n/a,"$101,330,977"
MiL.k Alliance,$0.426614,0.0%,0.5%,-4.0%,n/a,"$101,315,383"
Kunci Coin,$0.085606317041,0.1%,-0.4%,-4.7%,n/a,"$101,209,188"
Revain,$0.001198938483,-0.2%,1.7%,2.9%,n/a,"$101,135,663"
Velas,$0.043181174823,-3.4%,-0.0%,8.4%,n/a,"$100,510,295"
Request,$0.129413,1.1%,-1.8%,-4.5%,n/a,"$100,217,960"
Everdome,$0.004036491542,-0.1%,-0.4%,-15.8%,n/a,"$99,802,180"
Ankr Reward-Bearing Staked ETH,"$1,786.04",0.2%,2.2%,0.2%,n/a,"$98,723,557"
Biconomy,$0.569914,-0.3%,-0.8%,-13.1%,n/a,"$97,975,200"
BTSE Token,$4.34,0.6%,-4.1%,5.2%,n/a,"$97,366,382"
JOE,$0.311443,-0.4%,0.2%,-19.2%,n/a,"$97,270,059"
Multichain,$5.29,0.2%,-2.3%,-16.9%,n/a,"$97,239,798"
e-Radix,$0.060622321169,-0.1%,-0.2%,-3.9%,n/a,"$97,228,360"
Tokamak Network,$2.18,0.1%,3.1%,-0.9%,n/a,"$96,927,121"
Pirate Chain,$0.496560,-0.0%,0.3%,-6.5%,n/a,"$96,323,744"
Storj,$0.669794,-0.2%,-0.0%,-7.6%,n/a,"$96,065,375"
Vulcan Forged,$4.02,-0.0%,0.0%,-19.2%,n/a,"$95,794,109"
Tracer DAO,$0.158528,0.2%,18.8%,26.8%,n/a,"$95,622,999"
Dopex,$464.17,-2.4%,7.7%,-13.0%,n/a,"$94,721,255"
Bifrost,$0.087935070849,-0.5%,1.1%,0.2%,n/a,"$94,598,890"
xSUSHI,$1.84,-1.2%,-0.1%,-11.7%,n/a,"$94,389,909"
Voyager VGX,$0.316825,2.6%,0.8%,-9.1%,n/a,"$92,780,369"
XMON,"$36,500.17",-1.3%,2.9%,7.0%,n/a,"$91,583,368"
Uquid Coin,$9.15,-0.2%,-0.7%,-43.3%,n/a,"$91,467,700"
Ultra,$0.335627,-0.0%,-0.6%,-11.4%,n/a,"$90,870,112"
OriginTrail,$0.244856,-0.3%,-0.0%,5.3%,n/a,"$90,486,299"
Creditcoin,$0.432492,-0.5%,3.0%,0.9%,n/a,"$89,659,589"
LUKSO,$5.86,0.1%,-4.3%,-18.2%,n/a,"$88,867,852"
Tellor,$37.87,-0.2%,-3.5%,-1.7%,n/a,"$88,778,790"
Metal,$1.37,-0.3%,-0.2%,-5.5%,n/a,"$88,517,365"
Xido Finance,$2.93,-1.8%,-2.6%,0.8%,n/a,"$88,227,253"
Seedify.fund,$2.46,-0.4%,-3.6%,-16.7%,n/a,"$87,788,227"
Alien Worlds,$0.029868974312,-0.2%,-1.3%,-6.7%,n/a,"$87,704,411"
FUN,$0.008243315514,-0.1%,-0.2%,-1.2%,n/a,"$87,325,686"
Persistence,$0.741813,-0.2%,-1.6%,1.4%,n/a,"$87,296,596"
Venus,$6.35,-1.7%,7.1%,-5.2%,n/a,"$86,820,947"
StormX,$0.009347684069,-0.0%,-1.6%,0.3%,n/a,"$86,712,053"
Coin98,$0.469796,0.5%,-2.5%,-14.1%,n/a,"$86,614,024"
Ark,$0.513202,-0.3%,0.0%,-2.7%,n/a,"$85,756,076"
Beldex,$0.056333399270,-1.8%,-6.2%,-3.5%,n/a,"$85,366,085"
SSV Network,$12.24,2.3%,21.7%,16.8%,n/a,"$85,205,098"
STP Network,$0.051553802694,0.6%,1.9%,0.2%,n/a,"$84,941,499"
Reef,$0.004244446344,0.2%,0.1%,-6.3%,n/a,"$84,368,308"
Ocean Protocol,$0.193851,-0.3%,-0.4%,-15.8%,n/a,"$84,160,588"
Ampleforth,$1.41,-0.1%,5.5%,-8.3%,n/a,"$82,772,891"
aelf,$0.178231,-0.3%,-0.1%,-1.4%,n/a,"$81,972,309"
Liquity,$1.02,-1.6%,0.6%,-13.2%,n/a,"$81,824,376"
Manifold Finance,$56.95,1.7%,21.8%,14.9%,n/a,"$81,812,364"
Mdex,$0.088671468718,-0.1%,-3.7%,-9.4%,n/a,"$80,814,501"
Gains Farm,"$2,238.65",0.4%,6.2%,-16.7%,n/a,"$80,194,174"
Shentu,$0.926930,-0.1%,0.3%,-11.7%,n/a,"$78,621,057"
QuarkChain,$0.011725236492,-0.2%,0.2%,-2.3%,n/a,"$78,375,094"
