Coin,Price,Change_1h,Change_24h,Chnage_7days,Volume_24h,Market_cap
Stellar,$0.120588,-0.8%,-0.1%,-4.2%,n/a,"$3,048,345,740"
Monero,$166.27,-0.9%,3.5%,-0.9%,n/a,"$3,020,006,037"
Flow,$2.78,0.4%,7.1%,-10.5%,n/a,"$2,877,952,022"
Bitcoin Cash,$134.34,-0.5%,0.3%,-5.5%,n/a,"$2,573,497,218"
Algorand,$0.345996,-0.4%,0.7%,-5.4%,n/a,"$2,383,139,120"
Filecoin,$8.19,-0.5%,-0.4%,-1.4%,n/a,"$2,152,409,449"
VeChain,$0.029675859739,-0.4%,0.2%,-9.5%,n/a,"$2,148,384,313"
ApeCoin,$6.35,-0.2%,5.7%,-10.5%,n/a,"$1,992,886,816"
Internet Computer,$7.39,-0.8%,-1.0%,-10.9%,n/a,"$1,886,700,483"
Chain,$0.083093074079,-0.1%,-2.3%,-7.3%,n/a,"$1,787,664,211"
Decentraland,$0.982124,-0.5%,-0.5%,-8.6%,n/a,"$1,777,066,136"
The Sandbox,$1.23,-0.6%,0.1%,-8.9%,n/a,"$1,715,741,523"
Hedera,$0.074403565700,-0.5%,-1.0%,-5.7%,n/a,"$1,686,037,529"
Tezos,$1.86,-0.6%,-0.8%,-0.4%,n/a,"$1,671,394,011"
Quant,$114.85,-0.3%,2.9%,-9.4%,n/a,"$1,543,432,881"
Axie Infinity,$17.08,-0.8%,-0.8%,-8.0%,n/a,"$1,536,023,861"
EOS,$1.43,-1.2%,-6.7%,11.8%,n/a,"$1,441,768,895"
Frax,$0.996958,-0.4%,-0.2%,-0.2%,n/a,"$1,440,751,506"
Theta Network,$1.42,-0.4%,0.4%,-12.0%,n/a,"$1,415,697,853"
Aave,$99.78,-1.2%,-4.1%,-10.0%,n/a,"$1,397,434,016"
Lido DAO,$2.43,-2.7%,-3.3%,-10.2%,n/a,"$1,374,963,429"
Elrond,$58.22,-0.5%,-0.1%,-13.4%,n/a,"$1,329,608,880"
Celsius Network,$3.00,2.6%,20.2%,29.0%,n/a,"$1,242,484,254"
TrueUSD,$1.00,-0.1%,-0.1%,-0.1%,n/a,"$1,211,831,096"
Chiliz,$0.218038,-0.5%,0.9%,42.5%,n/a,"$1,165,380,139"
Bitcoin SV,$60.17,-0.7%,-0.0%,-3.7%,n/a,"$1,152,521,539"
cUSDC,$0.022649512886,0.0%,-0.0%,-0.2%,n/a,"$1,020,445,449"
KuCoin,$10.32,-0.6%,1.6%,-4.2%,n/a,"$1,009,247,399"
Zcash,$75.75,-0.9%,3.9%,-3.6%,n/a,"$968,087,064"
Helium,$7.57,-1.3%,-0.3%,-13.4%,n/a,"$952,996,787"
BitTorrent,$0.000000977685,-0.8%,0.5%,-3.7%,n/a,"$916,671,979"
Huobi BTC,"$23,574.37",0.2%,0.6%,-1.6%,n/a,"$915,675,001"
Fantom,$0.357940,-0.7%,1.2%,-12.1%,n/a,"$912,072,890"
The Graph,$0.123305,-0.6%,-1.1%,-15.9%,n/a,"$911,965,628"
cETH,$37.31,-0.7%,1.3%,0.3%,n/a,"$901,126,690"
IOTA,$0.321533,-0.8%,-2.3%,-7.8%,n/a,"$893,916,911"
eCash,$0.000044381914,-0.6%,-0.5%,-5.2%,n/a,"$848,121,291"
Pax Dollar,$0.999538,-0.0%,0.1%,0.0%,n/a,"$844,595,204"
Maker,$927.00,-0.2%,-2.7%,-16.9%,n/a,"$836,385,026"
Klaytn,$0.279845,-0.7%,0.1%,-5.0%,n/a,"$836,146,265"
cDAI,$0.022052229351,-0.0%,-0.2%,-0.2%,n/a,"$823,530,561"
Synthetix Network,$3.52,-1.1%,0.1%,-16.2%,n/a,"$822,884,085"
NEO,$10.94,-1.0%,-0.9%,-6.2%,n/a,"$772,118,759"
THORChain,$2.55,-0.6%,-0.2%,-12.8%,n/a,"$766,421,795"
USDD,$0.999615,-0.2%,0.0%,0.1%,n/a,"$740,841,394"
Huobi,$4.63,-0.7%,-7.1%,4.9%,n/a,"$707,059,117"
Gate,$4.86,-0.0%,0.6%,-1.5%,n/a,"$706,742,394"
Neutrino USD,$0.987233,-0.3%,-0.0%,-0.2%,n/a,"$684,807,549"
Arweave,$13.35,-0.8%,-0.5%,-14.1%,n/a,"$668,908,219"
PancakeSwap,$4.02,-0.6%,0.1%,-9.6%,n/a,"$659,510,885"
Zilliqa,$0.043508344895,-0.7%,0.2%,-4.4%,n/a,"$640,314,095"
Basic Attention,$0.412760,-0.5%,-0.7%,-11.3%,n/a,"$617,715,078"
Stacks,$0.465433,-0.5%,-0.1%,-7.3%,n/a,"$617,154,589"
Enjin Coin,$0.654981,-0.3%,0.2%,-6.6%,n/a,"$611,889,778"
Amp,$0.007953970742,-0.1%,-1.5%,-5.1%,n/a,"$605,196,886"
Radix,$0.060552695428,-0.0%,-1.6%,-3.8%,n/a,"$603,950,945"
PAX Gold,"$1,761.66",-0.0%,0.0%,-1.5%,n/a,"$598,663,913"
STEPN,$0.983943,-0.5%,-2.9%,0.2%,n/a,"$588,394,341"
Dash,$53.54,-0.9%,2.5%,-1.8%,n/a,"$583,745,225"
BitDAO,$0.513574,-0.6%,3.6%,-30.8%,n/a,"$583,105,244"
Waves,$5.69,-0.9%,0.5%,-7.3%,n/a,"$568,937,429"
Tenset,$2.94,-0.1%,-1.0%,5.9%,n/a,"$566,679,887"
Evmos,$2.01,1.8%,10.3%,12.0%,n/a,"$547,902,518"
NEXO,$0.951036,-0.2%,-0.3%,7.9%,n/a,"$532,957,439"
Loopring,$0.424270,-0.8%,-3.0%,-8.7%,n/a,"$528,357,504"
Osmosis,$1.22,-0.4%,4.0%,3.7%,n/a,"$527,944,557"
Kava,$2.10,-0.5%,0.3%,-9.6%,n/a,"$522,495,291"
Bitcoin Gold,$29.23,-0.4%,1.6%,-2.5%,n/a,"$511,087,460"
DeFiChain,$0.882422,-0.8%,-0.6%,-7.1%,n/a,"$504,623,592"
Kusama,$55.19,-0.7%,0.7%,-12.2%,n/a,"$496,343,840"
Gala,$0.062717631802,-0.6%,-3.1%,-1.2%,n/a,"$473,137,989"
Curve DAO,$1.20,-1.0%,-2.0%,-13.4%,n/a,"$470,285,847"
